Code Type,DenialCode,DenialReason,DenialCategory,FinalSteps
CARC,11,The diagnosis is inconsistent with the procedure,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,12,The diagnosis is inconsistent with the provider type,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,13,The date of death precedes the date of service,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,14,The date of birth follows the date of service,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,15,"The authorization number is missing, invalid, or does not apply to the billed services",No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,16,Claim/service lacks information or has submission/billing error(s),Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,18,Exact duplicate claim/service,Duplicate Claims,"Review IBMi to determine whether the same Date of Service (DOS) and HCPCS code has already been billed.
If it has already been billed and paid, adjust the current invoice as a duplicate.
If the service has not been previously billed, contact the insurance payer and request the original claim status.
If the representative does not provide the original claim status, request reprocessing of the claim.
If the representative does provide the status, verify whether payment was made to the same provider or to a different provider.
If the claim was paid to the same provider, review the paid or denied details in IBMi and adjust the invoice accordingly.
If the claim was paid to a different provider, adjust the invoice and send communication notes to RBCO requesting to stop billing."
CARC,19,This is a work-related injury/illness and thus the liability of the Workers' Compensation Carrier,Claim Submitted to incorrect payor,"Verify whether the claim was submitted to an incorrect payer or if the issue is related to an incorrect payer ID, mailing address, or plan information.
Confirm whether the correct payer details are available in IBMi.
If the correct payer information is present and already added in IBMi, submit a spreadsheet review request for appropriate rebooking.
If the correct payer information is not available, contact the payer to confirm the appropriate billing entity or responsible party. Once confirmed, submit an IVF form to update and bill the claim to the correct payer.
If the timely filing limit (TFL) has passed for billing the correct payer, make the required adjustments and submit a spreadsheet review request to rebook other rentals as necessary."
CARC,20,This injury/illness is covered by the liability carrier,Claim Submitted to incorrect payor,"Verify whether the claim was submitted to an incorrect payer or if the issue is related to an incorrect payer ID, mailing address, or plan information.
Confirm whether the correct payer details are available in IBMi.
If the correct payer information is present and already added in IBMi, submit a spreadsheet review request for appropriate rebooking.
If the correct payer information is not available, contact the payer to confirm the appropriate billing entity or responsible party. Once confirmed, submit an IVF form to update and bill the claim to the correct payer.
If the timely filing limit (TFL) has passed for billing the correct payer, make the required adjustments and submit a spreadsheet review request to rebook other rentals as necessary."
CARC,21,This injury/illness is the liability of the no-fault carrier,Claim Submitted to incorrect payor,"Verify whether the claim was submitted to an incorrect payer or if the issue is related to an incorrect payer ID, mailing address, or plan information.
Confirm whether the correct payer details are available in IBMi.
If the correct payer information is present and already added in IBMi, submit a spreadsheet review request for appropriate rebooking.
If the correct payer information is not available, contact the payer to confirm the appropriate billing entity or responsible party. Once confirmed, submit an IVF form to update and bill the claim to the correct payer.
If the timely filing limit (TFL) has passed for billing the correct payer, make the required adjustments and submit a spreadsheet review request to rebook other rentals as necessary."
CARC,22,This care may be covered by another payer per coordination of benefits,Claim Submitted to incorrect payor,"Verify whether the claim was submitted to an incorrect payer or if the issue is related to an incorrect payer ID, mailing address, or plan information.
Confirm whether the correct payer details are available in IBMi.
If the correct payer information is present and already added in IBMi, submit a spreadsheet review request for appropriate rebooking.
If the correct payer information is not available, contact the payer to confirm the appropriate billing entity or responsible party. Once confirmed, submit an IVF form to update and bill the claim to the correct payer.
If the timely filing limit (TFL) has passed for billing the correct payer, make the required adjustments and submit a spreadsheet review request to rebook other rentals as necessary."
CARC,23,The impact of prior payer(s) adjudication including payments and/or adjustments,Awaiting Eligibility Information,"Review the remark code to determine whether any specific details are indicated (e.g., invalid or missing member name, date of birth, or policy number).
Verify eligibility through the available portal or by phone. Confirm whether the patient was active or inactive on the date of service (DOS), including validation of the patient’s name, date of birth, and policy ID number.
If the patient is inactive, determine whether additional payer information is available:
If yes, submit an IVF form to add the information in IBMi.
If the information has already been added in IBMi, submit a spreadsheet review request to rebook the invoice to the active payer.
If no additional active payer is identified, submit an IVF form to run eligibility or contact the patient for updated information.
If the patient is active, contact the payer and request claim reprocessing."
CARC,24,Charges are covered under a capitation agreement/managed care plan,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,25,Payment denied - Your Stop Loss deductible has not been met,Maximum Benefit Met,"Verify the allowable units for the procedure code and compare them with the units billed on the claim.
Review the account history and notes to identify any prior updates or adjustment activity related to the invoice.
Contact the payer or check the payer’s web portal to confirm whether the patient’s benefit has been exhausted—either in terms of units or dollar allowances.
If the benefit is exhausted based on units:
Review the history to determine whether payment was previously received.
If payment was received and the allowable units have been fully used, adjust the invoice accordingly.
If payment was not received previously, request reprocessing of the claim.
If the benefit is exhausted based on dollars:
Review the history to confirm whether full payment was received.
If the allowed amount has been fully met, adjust the invoice.
If the allowed amount has not been fully met, request reprocessing."
CARC,26,Expenses incurred prior to coverage,Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
CARC,27,Expenses incurred after coverage terminated,Policy Terminated,"Verify eligibility through the payer’s web portal or by phone.
If coverage is terminated, determine whether any additional insurance information is available.
If additional coverage is found, submit an IVF form to update the insurance details.
If no additional coverage is found, submit an IVF form to request updated information or initiate further eligibility verification.
If coverage is active and not terminated, contact the payer and request reprocessing of the claim"
CARC,29,The time limit for filing has expired,Timely Filing,Appeal with proof of timely filing if applicable
CARC,31,Patient cannot be identified as our insured,Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
CARC,32,Our records indicate that this dependent is not an eligible dependent,Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
CARC,33,Insured has no dependent coverage,Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
CARC,34,Insured has no coverage for newborns,Not Eligible,"Review the patient’s eligibility to determine the reason for ineligibility.
Verify whether the patient has DME benefits.
If DME benefits are not covered, escalate for patient contact to obtain updated insurance information.
If DME benefits are covered, contact the payer and request reprocessing of the claim."
CARC,35,Lifetime benefit maximum has been reached,Maximum Benefit Met,"Verify the allowable units for the procedure code and compare them with the units billed on the claim.
Review the account history and notes to identify any prior updates or adjustment activity related to the invoice.
Contact the payer or check the payer’s web portal to confirm whether the patient’s benefit has been exhausted—either in terms of units or dollar allowances.
If the benefit is exhausted based on units:
Review the history to determine whether payment was previously received.
If payment was received and the allowable units have been fully used, adjust the invoice accordingly.
If payment was not received previously, request reprocessing of the claim.
If the benefit is exhausted based on dollars:
Review the history to confirm whether full payment was received.
If the allowed amount has been fully met, adjust the invoice.
If the allowed amount has not been fully met, request reprocessing."
CARC,36,Balance does not exceed co-payment amount,Patient Responsibility,Bill patient
CARC,37,Balance does not exceed deductible,Patient Responsibility,Bill patient
CARC,38,Services not provided or authorized by designated provider,No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,39,Services denied at the time authorization/pre-certification was requested,No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,40,Charges do not meet qualifications for emergent/urgent care,Medical Necessity,"Review the account history to determine whether the same HCPCS code has been previously billed and paid.
If yes, contact the payer and request reprocessing of the claim.
If no, ask the payer to specify the documentation required to establish medical necessity.
Check the EMR to verify whether the requested documents are available.
If the documents are available, send them to the payer via fax or email.
If the documents are not available, escalate the request to the RBCO or Centre teams to obtain the necessary documentation."
CARC,41,Discount agreed to in Preferred Provider contract,Contractual Adjustment,No further action - contractual write-off
CARC,42,Charges exceed our fee schedule or maximum allowable amount,Contractual Adjustment,No further action - contractual write-off
CARC,44,Prompt-pay discount,Contractual Adjustment,No further action
CARC,45,Charge exceeds fee schedule/maximum allowable or contracted/legislated fee arrangement,Contractual Adjustment,No further action - contractual write-off
CARC,49,This is a non-covered service because it is a routine exam or screening procedure,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,50,These are non-covered services because this is not deemed a 'medical necessity',Medical Necessity,"Review the account history to determine whether the same HCPCS code has been previously billed and paid.
If yes, contact the payer and request reprocessing of the claim.
If no, ask the payer to specify the documentation required to establish medical necessity.
Check the EMR to verify whether the requested documents are available.
If the documents are available, send them to the payer via fax or email.
If the documents are not available, escalate the request to the RBCO or Centre teams to obtain the necessary documentation."
CARC,51,These are non-covered services because this is a pre-existing condition,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,53,Services by an immediate relative or a member of the same household are not covered,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,54,Multiple physicians/assistants are not covered in this case,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,55,Procedure/treatment is deemed experimental/investigational by the payer,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,56,Procedure/treatment has not been deemed 'proven to be effective' by the payer,Medical Necessity,"Review the account history to determine whether the same HCPCS code has been previously billed and paid.
If yes, contact the payer and request reprocessing of the claim.
If no, ask the payer to specify the documentation required to establish medical necessity.
Check the EMR to verify whether the requested documents are available.
If the documents are available, send them to the payer via fax or email.
If the documents are not available, escalate the request to the RBCO or Centre teams to obtain the necessary documentation."
CARC,58,Treatment was deemed by the payer to have been rendered in an inappropriate or invalid place of service,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,59,Processed based on multiple or concurrent procedure rules,Contractual Adjustment,No further action - per contract
CARC,60,Charges for outpatient services with an inpatient admission,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,61,Penalty for failure to obtain second surgical opinion,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,66,Blood Deductible,Patient Responsibility,Bill patient
CARC,69,Day outlier amount,Reimbursement Adjustment,Post as payment adjustment
CARC,70,Cost outlier amount,Reimbursement Adjustment,Post as payment adjustment
CARC,74,Indirect Medical Education adjustment,Reimbursement Adjustment,Post as payment adjustment
CARC,75,Direct Medical Education adjustment,Reimbursement Adjustment,Post as payment adjustment
CARC,76,Disproportionate Share adjustment,Reimbursement Adjustment,Post as payment adjustment
CARC,78,Non-covered charges/services,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,89,Not covered unless emergency or urgent care,Medical Necessity,"Review the account history to determine whether the same HCPCS code has been previously billed and paid.
If yes, contact the payer and request reprocessing of the claim.
If no, ask the payer to specify the documentation required to establish medical necessity.
Check the EMR to verify whether the requested documents are available.
If the documents are available, send them to the payer via fax or email.
If the documents are not available, escalate the request to the RBCO or Centre teams to obtain the necessary documentation."
CARC,90,Service not covered unless performed/billed by an appropriate provider/supplier,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,91,Facility/equipment not appropriate for procedure/service,Missing or Invalid Information,"Review the remark code to determine which information is missing or invalid.
Examine prior notes to confirm whether the missing or incorrect information has already been submitted to the payer or corrected in the system.
If yes, follow up on the claim by checking the updated status via the payer’s web portal or by phone.
If no, verify whether the required information is available in IBMi.
If the information is available, either send it to the payer via fax or email, or make the necessary correction and submit a corrected claim.
If the information is not available, escalate the request to the RBCO or centre teams for resolution."
CARC,94,Processed in excess of charges,Reimbursement Adjustment,Post as payment adjustment
CARC,95,Plan procedures not followed,No Authorization,"Check IBMi for existing authorization for the billed procedure code.
If yes, submit a corrected claim including the authorization number.
If no, proceed to Step 2.
Review the EMR to determine whether any authorization document is available.
If yes, verify whether an authorization number is included:
If an auth# is present, add it to the claim and submit a corrected claim.
If no auth# is present or the document is incomplete, proceed to Step 3.
If no authorization document is available, proceed to Step 3.
Contact the payer to determine whether retroactive authorization is accepted.
If yes, escalate to the RBCO/Centre teams to obtain retro authorization for billing.
If no, adjust the balance, as no valid authorization was obtained.
Verify pricing in IBMi:
Check whether “Prior Auth Approval” is marked as Y or N.
If it is marked N, escalate to the RBCO/Centre teams to update the pricing to Y for the procedure code so that future claims will be held in IBMi until an authorization is secured."
CARC,96,Non-covered charges,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,97,The benefit for this service is included in the payment/allowance for another service/procedure,Bundled Services,No further action - bundled
CARC,100,Payment made to patient/insured/responsible party,Paid Claims,"Check IBMi for the EOB (Explanation of Benefits).
If the EOB is available, document all payment details and submit them for payment posting.
If no EOB is available, obtain the payment details by contacting the payer via phone or reviewing the payer’s web portal.
Verify the mode of payment (check or EFT) and record all check/EFT details, then submit the information for payment posting.
If payment was issued 15 or more days ago and no payment has been posted or received, contact the payer to request a check tracer number, confirming the mailing address on file is correct."
CARC,101,Predetermination: anticipated payment upon completion of services or claim adjudication,Awaiting Eligibility Information,"Review the remark code to determine whether any specific details are indicated (e.g., invalid or missing member name, date of birth, or policy number).
Verify eligibility through the available portal or by phone. Confirm whether the patient was active or inactive on the date of service (DOS), including validation of the patient’s name, date of birth, and policy ID number.
If the patient is inactive, determine whether additional payer information is available:
If yes, submit an IVF form to add the information in IBMi.
If the information has already been added in IBMi, submit a spreadsheet review request to rebook the invoice to the active payer.
If no additional active payer is identified, submit an IVF form to run eligibility or contact the patient for updated information.
If the patient is active, contact the payer and request claim reprocessing."
CARC,102,Processed information for network adequacy,Informational,No action required
CARC,103,Medicare Advantage enrollee - services not covered by plan,Non Covered Charges,"Verify whether the procedure code is non-covered under either the provider or the patient.
If the procedure code is non-covered under the provider:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, identify the reason the procedure code is considered non-covered.
Review the account history and notes for any relevant information.
If no supporting information is found, escalate for further review.
If it is confirmed as non-covered per Medicare guidelines, adjust the invoice accordingly.
If the procedure code is non-covered under the patient:
Review the history to determine whether payment was previously received for the same code.
If yes, contact the payer and request reprocessing.
If no, verify the patient’s eligibility to confirm benefit information and escalate to the RBCO/Centre teams to bill the patient directly."
CARC,104,Processed under Medicaid ACA enhanced fee schedule,Reimbursement Adjustment,Post as payment adjustment
CARC,105,Tax withholding,Reimbursement Adjustment,Post as payment adjustment
CARC,106,Prior payment being cancelled as patient is not liable,Payment Reversal,Refund payment if received
CARC,107,Policy benefits exhausted,Maximum Benefit Met,"Verify the allowable units for the procedure code and compare them with the units billed on the claim.
Review the account history and notes to identify any prior updates or adjustment activity related to the invoice.
Contact the payer or check the payer’s web portal to confirm whether the patient’s benefit has been exhausted—either in terms of units or dollar allowances.
If the benefit is exhausted based on units:
Review the history to determine whether payment was previously received.
If payment was received and the allowable units have been fully used, adjust the invoice accordingly.
If payment was not received previously, request reprocessing of the claim.
If the benefit is exhausted based on dollars:
Review the history to confirm whether full payment was received.
If the allowed amount has been fully met, adjust the invoice.
If the allowed amount has not been fully met, request reprocessing."
CARC,108,Rent/purchase guidelines not met,DME Certification needed,"Review the account history and notes to determine whether the DME certificate has already been submitted to the payer.
If the DME certificate has been submitted, verify the updated claim status via the payer’s web portal or by phone.
If the DME certificate has not been submitted, check whether it is available in the EMR.  If it is available, send the DME certificate to the payer via fax or email.
If the DME certificate is not available, escalate the request to the RBCO or centre teams to obtain the required document."
